Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,86.129997,86.309998,85.500000,85.949997,80.228996,22483800
2018-01-03,86.059998,86.510002,85.970001,86.349998,80.602386,26061400
2018-01-04,86.589996,87.660004,86.570000,87.110001,81.311783,21912000
2018-01-05,87.660004,88.410004,87.430000,88.190002,82.319923,23407100
2018-01-08,88.199997,88.580002,87.599998,88.279999,82.403923,22113000
2018-01-09,88.650002,88.730003,87.860001,88.220001,82.347923,19484300
2018-01-10,87.860001,88.190002,87.410004,87.820000,81.974525,18652200
2018-01-11,88.129997,88.129997,87.239998,88.080002,82.217224,17808900
2018-01-12,88.669998,89.779999,88.449997,89.599998,83.636070,24271500
2018-01-16,90.099998,90.790001,88.010002,88.349998,82.469261,36599700
2018-01-17,89.080002,90.279999,88.750000,90.139999,84.140091,25621200
2018-01-18,89.800003,90.669998,89.660004,90.099998,84.102776,24159700
2018-01-19,90.139999,90.610001,89.660004,90.000000,84.009438,36875000
2018-01-22,90.000000,91.620003,89.739998,91.610001,85.512283,23601600
2018-01-23,91.900002,92.300003,91.540001,91.900002,85.782982,23412800
2018-01-24,92.550003,93.430000,91.580002,91.820000,85.708298,33277500
2018-01-25,92.470001,93.239998,91.930000,92.330002,86.184349,26383200
2018-01-26,93.120003,94.059998,92.580002,94.059998,87.799187,29172200
2018-01-29,95.139999,95.449997,93.720001,93.919998,87.668503,31569900
2018-01-30,93.300003,93.660004,92.099998,92.739998,86.567047,38635100
2018-01-31,93.750000,95.400002,93.510002,95.010002,88.685966,48756300
2018-02-01,94.790001,96.070000,93.580002,94.260002,87.985878,47227900
2018-02-02,93.639999,93.970001,91.500000,91.779999,85.670959,47867800
2018-02-05,90.559998,93.239998,88.000000,88.000000,82.142570,51031500
2018-02-06,86.889999,91.480003,85.250000,91.330002,85.250916,67998600
2018-02-07,90.489998,91.769997,89.199997,89.610001,83.645378,41107600
2018-02-08,89.709999,89.879997,84.760002,85.010002,79.351585,55628700
2018-02-09,86.300003,88.930000,83.830002,88.180000,82.310570,63499100
2018-02-12,88.739998,89.779999,87.930000,89.129997,83.197334,35720300
2018-02-13,88.930000,90.000000,87.800003,89.830002,83.850754,26407700
2018-02-14,88.510002,90.989998,88.410004,90.809998,85.163712,34960900
2018-02-15,91.209999,92.720001,90.620003,92.660004,86.898682,27823900
2018-02-16,92.449997,93.500000,91.800003,92.000000,86.279732,30596900
2018-02-20,91.480003,93.059998,91.010002,92.720001,86.954941,30911700
2018-02-21,92.980003,93.360001,91.489998,91.489998,85.801422,26922500
2018-02-22,92.050003,92.730003,91.360001,91.730003,86.026489,24392800
2018-02-23,93.599998,94.070000,92.360001,94.059998,88.211624,26329200
2018-02-26,94.400002,95.449997,94.250000,95.419998,89.487068,30199800
2018-02-27,95.739998,95.839996,94.199997,94.199997,88.342918,25869100
2018-02-28,94.839996,95.709999,93.629997,93.769997,87.939651,31167300
2018-03-01,93.989998,94.570000,91.839996,92.849998,87.076843,37135600
2018-03-02,91.580002,93.150002,90.860001,93.050003,87.264427,32830400
2018-03-05,92.339996,94.269997,92.260002,93.639999,87.817749,23901600
